CurrentGen,GenSize,MutateMax,MutateBitWi,MutateIn100,Copy,Shuffle,Crossover,Mutate,MutationSelect
3,10,3,8,30,2,2,2,6,2

ChromoID,Score,Bools0,Bools1,Bools2,Bools3,Bools4,Bools5,Bools6,Bools7,Bools8,Bools9,Bools10,Bools11,Bools12,Bools13,Bools14,Bools15
0,82,T,F,F,T,F,F,F,T,F,F,F,F,F,F,F,F
1,71,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F
2,58,F,T,F,F,T,T,F,F,F,F,F,F,F,F,F,F
3,41,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F
4,0,T,T,F,T,F,F,F,T,T,F,F,T,F,F,F,T
5,0,T,T,F,F,F,F,F,T,T,F,F,T,F,F,F,T
6,0,F,T,T,F,F,T,F,F,F,T,F,F,F,F,F,F
7,0,F,F,F,F,T,F,F,F,F,T,F,F,T,T,F,F
8,0,F,T,F,F,T,T,T,F,F,T,F,F,F,F,F,F
9,0,T,T,F,F,T,F,F,F,T,T,F,F,F,F,F,F
